name,profile_url,email,source_url
Peggy Cross-Goldenberg,https://www.law.columbia.edu/faculty/peggy-cross-goldenberg,,https://www.law.columbia.edu/faculty/peggy-cross-goldenberg
Rick D'Avino,https://www.law.columbia.edu/faculty/rick-davino,,https://www.law.columbia.edu/faculty/rick-davino
Lori Fisler Damrosch,https://www.law.columbia.edu/faculty/lori-f-damrosch,,https://www.law.columbia.edu/faculty/lori-f-damrosch
Elizabeth Daniel Vasquez,https://www.law.columbia.edu/faculty/elizabeth-daniel-vasquez,,https://www.law.columbia.edu/faculty/elizabeth-daniel-vasquez
Lev Dassin,https://www.law.columbia.edu/faculty/lev-dassin,,https://www.law.columbia.edu/faculty/lev-dassin
Anthony Davis,https://www.law.columbia.edu/faculty/anthony-davis,,https://www.law.columbia.edu/faculty/anthony-davis
Frederick Davis,https://www.law.columbia.edu/faculty/frederick-davis,,https://www.law.columbia.edu/faculty/frederick-davis
Joanne De Silva,https://www.law.columbia.edu/faculty/joanne-de-silva,,https://www.law.columbia.edu/faculty/joanne-de-silva
Natalia Delgado,https://www.law.columbia.edu/faculty/natalia-delgado,,https://www.law.columbia.edu/faculty/natalia-delgado
Joseph DeMarco,https://www.law.columbia.edu/faculty/joseph-demarco,,https://www.law.columbia.edu/faculty/joseph-demarco
Timothy DeMasi,https://www.law.columbia.edu/faculty/timothy-demasi,,https://www.law.columbia.edu/faculty/timothy-demasi
Rebecca Dent,https://www.law.columbia.edu/faculty/rebecca-dent,,https://www.law.columbia.edu/faculty/rebecca-dent
Anna Diakun,https://www.law.columbia.edu/faculty/anna-diakun,,https://www.law.columbia.edu/faculty/anna-diakun
Richard Dicker,https://www.law.columbia.edu/faculty/richard-dicker,,https://www.law.columbia.edu/faculty/richard-dicker
Brett Dignam,https://www.law.columbia.edu/faculty/brett-dignam,,https://www.law.columbia.edu/faculty/brett-dignam
Delyan M. Dimitrov,https://www.law.columbia.edu/faculty/delyan-m-dimitrov,,https://www.law.columbia.edu/faculty/delyan-m-dimitrov
Michael W. Doyle,https://www.law.columbia.edu/faculty/michael-w-doyle,,https://www.law.columbia.edu/faculty/michael-w-doyle
Elyse Dreyer,https://www.law.columbia.edu/faculty/elyse-dreyer,,https://www.law.columbia.edu/faculty/elyse-dreyer
Maggie Drucker,https://www.law.columbia.edu/faculty/maggie-drucker,,https://www.law.columbia.edu/faculty/maggie-drucker
Kabir Duggal,https://www.law.columbia.edu/faculty/kabir-duggal,,https://www.law.columbia.edu/faculty/kabir-duggal
Tijana Dvornic,https://www.law.columbia.edu/faculty/tijana-dvornic,,https://www.law.columbia.edu/faculty/tijana-dvornic
Martin Edel,https://www.law.columbia.edu/faculty/martin-edel,,https://www.law.columbia.edu/faculty/martin-edel
Harold S. H. Edgar,https://www.law.columbia.edu/faculty/harold-s-edgar,,https://www.law.columbia.edu/faculty/harold-s-edgar
Randle Edwards,https://www.law.columbia.edu/faculty/randle-edwards,,https://www.law.columbia.edu/faculty/randle-edwards
Scott Edwards,https://www.law.columbia.edu/faculty/scott-edwards,,https://www.law.columbia.edu/faculty/scott-edwards
Robin Effron,https://www.law.columbia.edu/faculty/robin-effron,,https://www.law.columbia.edu/faculty/robin-effron
Stephen Ehrlich,https://www.law.columbia.edu/faculty/stephen-ehrlich,,https://www.law.columbia.edu/faculty/stephen-ehrlich
Tal Eisenzweig,https://www.law.columbia.edu/faculty/tal-eisenzweig,,https://www.law.columbia.edu/faculty/tal-eisenzweig
Elizabeth F. Emens,https://www.law.columbia.edu/faculty/elizabeth-f-emens,,https://www.law.columbia.edu/faculty/elizabeth-f-emens
Anthony Ewing,https://www.law.columbia.edu/faculty/anthony-ewing,,https://www.law.columbia.edu/faculty/anthony-ewing
Jeffrey A. Fagan,https://www.law.columbia.edu/faculty/jeffrey-fagan,,https://www.law.columbia.edu/faculty/jeffrey-fagan
Les Fagen,https://www.law.columbia.edu/faculty/les-fagen,,https://www.law.columbia.edu/faculty/les-fagen
Kai Falkenberg,https://www.law.columbia.edu/faculty/kai-falkenberg,,https://www.law.columbia.edu/faculty/kai-falkenberg
Dennis Fan,https://www.law.columbia.edu/faculty/dennis-fan,,https://www.law.columbia.edu/faculty/dennis-fan
Casey Faucon,https://www.law.columbia.edu/faculty/casey-faucon,,https://www.law.columbia.edu/faculty/casey-faucon
Kristen J Ferguson,https://www.law.columbia.edu/faculty/kristen-j-ferguson,,https://www.law.columbia.edu/faculty/kristen-j-ferguson
Robert Ferguson,https://www.law.columbia.edu/faculty/robert-ferguson,,https://www.law.columbia.edu/faculty/robert-ferguson
Jacob R. Fiddelman,https://www.law.columbia.edu/faculty/jacob-r-fiddelman,,https://www.law.columbia.edu/faculty/jacob-r-fiddelman
Elizabeth Fischer,https://www.law.columbia.edu/faculty/elizabeth-fischer,,https://www.law.columbia.edu/faculty/elizabeth-fischer
Martin Flaherty,https://www.law.columbia.edu/faculty/martin-flaherty,,https://www.law.columbia.edu/faculty/martin-flaherty
George P. Fletcher,https://www.law.columbia.edu/faculty/george-p-fletcher,,https://www.law.columbia.edu/faculty/george-p-fletcher
Alice Fontier,https://www.law.columbia.edu/faculty/alice-fontier,,https://www.law.columbia.edu/faculty/alice-fontier
Flores Forbes,https://www.law.columbia.edu/faculty/flores-forbes,,https://www.law.columbia.edu/faculty/flores-forbes
Fabricio Fortese,https://www.law.columbia.edu/faculty/fabricio-fortese,,https://www.law.columbia.edu/faculty/fabricio-fortese
Maria Foscarinis,https://www.law.columbia.edu/faculty/maria-foscarinis,,https://www.law.columbia.edu/faculty/maria-foscarinis
Sheila Foster,https://www.law.columbia.edu/faculty/sheila-foster,,https://www.law.columbia.edu/faculty/sheila-foster
Mavis Fowler-Williams,https://www.law.columbia.edu/faculty/mavis-fowler-williams,,https://www.law.columbia.edu/faculty/mavis-fowler-williams
Merritt B. Fox,https://www.law.columbia.edu/faculty/merritt-b-fox,,https://www.law.columbia.edu/faculty/merritt-b-fox
Andrew Frackman,https://www.law.columbia.edu/faculty/andrew-frackman,,https://www.law.columbia.edu/faculty/andrew-frackman
Stephen Fraidin,https://www.law.columbia.edu/faculty/stephen-fraidin,,https://www.law.columbia.edu/faculty/stephen-fraidin
Josh Freeman,https://www.law.columbia.edu/faculty/josh-freeman,,https://www.law.columbia.edu/faculty/josh-freeman
Gabriel Freiman,https://www.law.columbia.edu/faculty/gabriel-freiman,,https://www.law.columbia.edu/faculty/gabriel-freiman
David Fried,https://www.law.columbia.edu/faculty/david-fried,,https://www.law.columbia.edu/faculty/david-fried
Andrew Friedman,https://www.law.columbia.edu/faculty/andrew-friedman,,https://www.law.columbia.edu/faculty/andrew-friedman
Brett Friedman,https://www.law.columbia.edu/faculty/brett-friedman,,https://www.law.columbia.edu/faculty/brett-friedman
Edward C. Frischling,https://www.law.columbia.edu/faculty/edward-c-frischling,,https://www.law.columbia.edu/faculty/edward-c-frischling
Kellen R. Funk,https://www.law.columbia.edu/faculty/kellen-r-funk,,https://www.law.columbia.edu/faculty/kellen-r-funk
Bryan Furst,https://www.law.columbia.edu/faculty/bryan-furst,,https://www.law.columbia.edu/faculty/bryan-furst
Jamie Gallagher,https://www.law.columbia.edu/faculty/jamie-gallagher,,https://www.law.columbia.edu/faculty/jamie-gallagher
Margaret Merrell Garnett,https://www.law.columbia.edu/faculty/margaret-m-garnett,,https://www.law.columbia.edu/faculty/margaret-m-garnett
Alejandro M. Garro,https://www.law.columbia.edu/faculty/alejandro-m-garro,,https://www.law.columbia.edu/faculty/alejandro-m-garro
Lee Gelernt,https://www.law.columbia.edu/faculty/lee-gelernt,,https://www.law.columbia.edu/faculty/lee-gelernt
Philip M. Genty,https://www.law.columbia.edu/faculty/philip-m-genty,,https://www.law.columbia.edu/faculty/philip-m-genty
Christine Anne George,https://www.law.columbia.edu/faculty/christine-george,,https://www.law.columbia.edu/faculty/christine-george
Robert Gerber,https://www.law.columbia.edu/faculty/robert-gerber,,https://www.law.columbia.edu/faculty/robert-gerber
Michael Gerrard,https://www.law.columbia.edu/faculty/michael-gerrard,,https://www.law.columbia.edu/faculty/michael-gerrard
Talia Gillis,https://www.law.columbia.edu/faculty/talia-gillis,,https://www.law.columbia.edu/faculty/talia-gillis
Ronald J. Gilson,https://www.law.columbia.edu/faculty/ronald-j-gilson,,https://www.law.columbia.edu/faculty/ronald-j-gilson
Jane C. Ginsburg,https://www.law.columbia.edu/faculty/jane-c-ginsburg,,https://www.law.columbia.edu/faculty/jane-c-ginsburg
Robin Gise,https://www.law.columbia.edu/faculty/robin-gise,,https://www.law.columbia.edu/faculty/robin-gise
Maeve Glass,https://www.law.columbia.edu/faculty/maeve-glass,,https://www.law.columbia.edu/faculty/maeve-glass
Martin Glenn,https://www.law.columbia.edu/faculty/martin-glenn,,https://www.law.columbia.edu/faculty/martin-glenn
Lawrence Glosten,https://www.law.columbia.edu/faculty/lawrence-glosten,,https://www.law.columbia.edu/faculty/lawrence-glosten
Melanie Goins,https://www.law.columbia.edu/faculty/melanie-goins,,https://www.law.columbia.edu/faculty/melanie-goins
Suzanne Goldberg,https://www.law.columbia.edu/faculty/suzanne-goldberg,,https://www.law.columbia.edu/faculty/suzanne-goldberg
Victor P. Goldberg,https://www.law.columbia.edu/faculty/victor-p-goldberg,,https://www.law.columbia.edu/faculty/victor-p-goldberg
Rachel Goldman,https://www.law.columbia.edu/faculty/rachel-goldman,,https://www.law.columbia.edu/faculty/rachel-goldman
Harvey J. Goldschmid,https://www.law.columbia.edu/faculty/harvey-j-goldschmid,,https://www.law.columbia.edu/faculty/harvey-j-goldschmid
Madeline M. Gomez,https://www.law.columbia.edu/faculty/madeline-m-gomez,,https://www.law.columbia.edu/faculty/madeline-m-gomez
Hector Gonzalez,https://www.law.columbia.edu/faculty/hector-gonzalez,,https://www.law.columbia.edu/faculty/hector-gonzalez
David Goodwin,https://www.law.columbia.edu/faculty/david-goodwin,,https://www.law.columbia.edu/faculty/david-goodwin
Leah Gopin,https://www.law.columbia.edu/faculty/leah-gopin,,https://www.law.columbia.edu/faculty/leah-gopin
Jeffrey N. Gordon,https://www.law.columbia.edu/faculty/jeffrey-n-gordon,,https://www.law.columbia.edu/faculty/jeffrey-n-gordon
Stephen Gordon,https://www.law.columbia.edu/faculty/stephen-gordon,,https://www.law.columbia.edu/faculty/stephen-gordon
Zohar Goshen,https://www.law.columbia.edu/faculty/zohar-goshen,,https://www.law.columbia.edu/faculty/zohar-goshen
Nicolas Grabar,https://www.law.columbia.edu/faculty/nicolas-grabar,,https://www.law.columbia.edu/faculty/nicolas-grabar
Frank P. Grad,https://www.law.columbia.edu/faculty/frank-p-grad,,https://www.law.columbia.edu/faculty/frank-p-grad
Michael Graetz,https://www.law.columbia.edu/faculty/michael-graetz,,https://www.law.columbia.edu/faculty/michael-graetz
Richard Gray,https://www.law.columbia.edu/faculty/richard-gray,,https://www.law.columbia.edu/faculty/richard-gray
Jerome Greco,https://www.law.columbia.edu/faculty/jerome-greco,,https://www.law.columbia.edu/faculty/jerome-greco
Ariadne Green,https://www.law.columbia.edu/faculty/ariadne-green,,https://www.law.columbia.edu/faculty/ariadne-green
Alexander Greenawalt,https://www.law.columbia.edu/faculty/alexander-greenawalt,,https://www.law.columbia.edu/faculty/alexander-greenawalt
Kent Greenawalt,https://www.law.columbia.edu/faculty/kent-greenawalt,,https://www.law.columbia.edu/faculty/kent-greenawalt
Jack Greenberg,https://www.law.columbia.edu/faculty/jack-greenberg,,https://www.law.columbia.edu/faculty/jack-greenberg
Michelle Greenberg-Kobrin,https://www.law.columbia.edu/faculty/michelle-greenberg-kobrin,,https://www.law.columbia.edu/faculty/michelle-greenberg-kobrin
Edward Greene,https://www.law.columbia.edu/faculty/edward-greene,,https://www.law.columbia.edu/faculty/edward-greene
Jamal Greene,https://www.law.columbia.edu/faculty/jamal-greene,,https://www.law.columbia.edu/faculty/jamal-greene
Naima Gregory,https://www.law.columbia.edu/faculty/naima-gregory,,https://www.law.columbia.edu/faculty/naima-gregory
Robert Grey,https://www.law.columbia.edu/faculty/robert-grey,,https://www.law.columbia.edu/faculty/robert-grey
Benjamin Grimes,https://www.law.columbia.edu/faculty/benjamin-grimes,,https://www.law.columbia.edu/faculty/benjamin-grimes
Ben Gross,https://www.law.columbia.edu/faculty/ben-gross,,https://www.law.columbia.edu/faculty/ben-gross
Peter Grossi,https://www.law.columbia.edu/faculty/peter-grossi,,https://www.law.columbia.edu/faculty/peter-grossi
Anjum Gupta,https://www.law.columbia.edu/faculty/anjum-gupta,,https://www.law.columbia.edu/faculty/anjum-gupta
Josh Gupta-Kagan,https://www.law.columbia.edu/faculty/josh-gupta-kagan,,https://www.law.columbia.edu/faculty/josh-gupta-kagan
Tanya Hajjar,https://www.law.columbia.edu/faculty/tanya-hajjar,,https://www.law.columbia.edu/faculty/tanya-hajjar
Monica Hakimi,https://www.law.columbia.edu/faculty/monica-hakimi,,https://www.law.columbia.edu/faculty/monica-hakimi
Philip Hamburger,https://www.law.columbia.edu/faculty/philip-hamburger,,https://www.law.columbia.edu/faculty/philip-hamburger
Assaf Hamdani,https://www.law.columbia.edu/faculty/assaf-hamdani,,https://www.law.columbia.edu/faculty/assaf-hamdani
Dorothy Harbeck,https://www.law.columbia.edu/faculty/dorothy-harbeck,,https://www.law.columbia.edu/faculty/dorothy-harbeck
Bernard E. Harcourt,https://www.law.columbia.edu/faculty/bernard-e-harcourt,,https://www.law.columbia.edu/faculty/bernard-e-harcourt
Natasha Harnwell-Davis,https://www.law.columbia.edu/faculty/natasha-harnwell-davis,,https://www.law.columbia.edu/faculty/natasha-harnwell-davis
Brandon D Harper,https://www.law.columbia.edu/faculty/brandon-d-harper,,https://www.law.columbia.edu/faculty/brandon-d-harper
Robert Harris,https://www.law.columbia.edu/faculty/robert-harris,,https://www.law.columbia.edu/faculty/robert-harris
Christopher B Harwood,https://www.law.columbia.edu/faculty/christopher-b-harwood,,https://www.law.columbia.edu/faculty/christopher-b-harwood
Gail Heatherly,https://www.law.columbia.edu/faculty/gail-heatherly,,https://www.law.columbia.edu/faculty/gail-heatherly
Michael A. Heller,https://www.law.columbia.edu/faculty/michael-heller,,https://www.law.columbia.edu/faculty/michael-heller
Genevieve Helleringer,https://www.law.columbia.edu/faculty/genevieve-helleringer,,https://www.law.columbia.edu/faculty/genevieve-helleringer
Adam Hemlock,https://www.law.columbia.edu/faculty/adam-hemlock,,https://www.law.columbia.edu/faculty/adam-hemlock
Louis Henkin,https://www.law.columbia.edu/faculty/louis-henkin,,https://www.law.columbia.edu/faculty/louis-henkin
Patricia Hennessey,https://www.law.columbia.edu/faculty/patricia-hennessey,,https://www.law.columbia.edu/faculty/patricia-hennessey
Jehanne Henry,https://www.law.columbia.edu/faculty/jehanne-henry,,https://www.law.columbia.edu/faculty/jehanne-henry
Jey Hernandez,https://www.law.columbia.edu/faculty/jey-hernandez,,https://www.law.columbia.edu/faculty/jey-hernandez
Jay Allen Hewlin,https://www.law.columbia.edu/faculty/jay-hewlin,,https://www.law.columbia.edu/faculty/jay-hewlin
Alfred Hill,https://www.law.columbia.edu/faculty/alfred-hill,,https://www.law.columbia.edu/faculty/alfred-hill
Nell Hirschmann-Levy,https://www.law.columbia.edu/faculty/nell-hirschmann-levy,,https://www.law.columbia.edu/faculty/nell-hirschmann-levy
D. Bruce Hoffman,https://www.law.columbia.edu/faculty/d-bruce-hoffman,,https://www.law.columbia.edu/faculty/d-bruce-hoffman
Courtney Hogg,https://www.law.columbia.edu/faculty/courtney-hogg,,https://www.law.columbia.edu/faculty/courtney-hogg
Reynolds Holding,https://www.law.columbia.edu/faculty/reynolds-holding,,https://www.law.columbia.edu/faculty/reynolds-holding
Eunice Hong,https://www.law.columbia.edu/faculty/eunice-hong,,https://www.law.columbia.edu/faculty/eunice-hong
James L. Hoover,https://www.law.columbia.edu/faculty/james-l-hoover,,https://www.law.columbia.edu/faculty/james-l-hoover
David Paul Horowitz,https://www.law.columbia.edu/faculty/david-paul-horowitz,,https://www.law.columbia.edu/faculty/david-paul-horowitz
Jeffrey Horowitz,https://www.law.columbia.edu/faculty/jeffrey-horowitz,,https://www.law.columbia.edu/faculty/jeffrey-horowitz
Steven Horowitz,https://www.law.columbia.edu/faculty/steven-horowitz,,https://www.law.columbia.edu/faculty/steven-horowitz
Richard Horsch,https://www.law.columbia.edu/faculty/richard-horsch,,https://www.law.columbia.edu/faculty/richard-horsch
Susan Horwitz,https://www.law.columbia.edu/faculty/susan-horwitz,,https://www.law.columbia.edu/faculty/susan-horwitz
Bert Huang,https://www.law.columbia.edu/faculty/bert-huang,,https://www.law.columbia.edu/faculty/bert-huang
He Hui,https://www.law.columbia.edu/faculty/he-hui,,https://www.law.columbia.edu/faculty/he-hui
Clare Huntington,https://www.law.columbia.edu/faculty/clare-huntington,,https://www.law.columbia.edu/faculty/clare-huntington
Giselle Huron,https://www.law.columbia.edu/faculty/giselle-huron,,https://www.law.columbia.edu/faculty/giselle-huron
Nobuhisa Ishizuka,https://www.law.columbia.edu/faculty/nobuhisa-ishizuka,,https://www.law.columbia.edu/faculty/nobuhisa-ishizuka
Turkuler Isiksel,https://www.law.columbia.edu/faculty/turkuler-isiksel,,https://www.law.columbia.edu/faculty/turkuler-isiksel
Mia Jackson-Rosenthal,https://www.law.columbia.edu/faculty/mia-jackson-rosenthal,,https://www.law.columbia.edu/faculty/mia-jackson-rosenthal
John Jacobi,https://www.law.columbia.edu/faculty/john-jacobi,,https://www.law.columbia.edu/faculty/john-jacobi
Lawrence Jacobs,https://www.law.columbia.edu/faculty/lawrence-jacobs,,https://www.law.columbia.edu/faculty/lawrence-jacobs
Jameel Jaffer,https://www.law.columbia.edu/faculty/jameel-jaffer,,https://www.law.columbia.edu/faculty/jameel-jaffer
Merit Janow,https://www.law.columbia.edu/faculty/merit-janow,,https://www.law.columbia.edu/faculty/merit-janow
Kevin Jason,https://www.law.columbia.edu/faculty/kevin-jason,,https://www.law.columbia.edu/faculty/kevin-jason
Natalie Jean-Baptiste,https://www.law.columbia.edu/faculty/natalie-jean-baptiste,,https://www.law.columbia.edu/faculty/natalie-jean-baptiste
Tejal Jesrani Haslinger,https://www.law.columbia.edu/faculty/tejal-jesrani-haslinger,,https://www.law.columbia.edu/faculty/tejal-jesrani-haslinger
Michael Jo,https://www.law.columbia.edu/faculty/michael-jo,,https://www.law.columbia.edu/faculty/michael-jo
Conrad Johnson,https://www.law.columbia.edu/faculty/conrad-johnson,,https://www.law.columbia.edu/faculty/conrad-johnson
Darren Wright Johnson,https://www.law.columbia.edu/faculty/darren-w-johnson,,https://www.law.columbia.edu/faculty/darren-w-johnson
Emily Johnson,https://www.law.columbia.edu/faculty/emily-johnson-0,,https://www.law.columbia.edu/faculty/emily-johnson-0
Olatunde Johnson,https://www.law.columbia.edu/faculty/olatunde-johnson,,https://www.law.columbia.edu/faculty/olatunde-johnson
Thea Johnson,https://www.law.columbia.edu/faculty/thea-johnson,,https://www.law.columbia.edu/faculty/thea-johnson
Andy Jondahl,https://www.law.columbia.edu/faculty/andy-jondahl,,https://www.law.columbia.edu/faculty/andy-jondahl
Danielle Jones,https://www.law.columbia.edu/faculty/danielle-jones,,https://www.law.columbia.edu/faculty/danielle-jones
William Jones,https://www.law.columbia.edu/faculty/william-jones,,https://www.law.columbia.edu/faculty/william-jones
Kelsey Jost-Creegan,https://www.law.columbia.edu/faculty/kelsey-jost-creegan,,https://www.law.columbia.edu/faculty/kelsey-jost-creegan
Kathryn Judge,https://www.law.columbia.edu/faculty/kathryn-judge,,https://www.law.columbia.edu/faculty/kathryn-judge
Hicham Kantar,https://www.law.columbia.edu/faculty/hicham-kantar,,https://www.law.columbia.edu/faculty/hicham-kantar
Cathy Kaplan,https://www.law.columbia.edu/faculty/cathy-kaplan,,https://www.law.columbia.edu/faculty/cathy-kaplan
Roberta Kaplan,https://www.law.columbia.edu/faculty/roberta-kaplan,,https://www.law.columbia.edu/faculty/roberta-kaplan
Kenneth Karas,https://www.law.columbia.edu/faculty/kenneth-karas,,https://www.law.columbia.edu/faculty/kenneth-karas
Akiteru Katsuta,https://www.law.columbia.edu/faculty/akiteru-katsuta,,https://www.law.columbia.edu/faculty/akiteru-katsuta
Avery W. Katz,https://www.law.columbia.edu/faculty/avery-w-katz,,https://www.law.columbia.edu/faculty/avery-w-katz
Larissa Katz,https://www.law.columbia.edu/faculty/larissa-katz,,https://www.law.columbia.edu/faculty/larissa-katz
George Kendall,https://www.law.columbia.edu/faculty/george-kendall,,https://www.law.columbia.edu/faculty/george-kendall
Will Kendall,https://www.law.columbia.edu/faculty/will-kendall,,https://www.law.columbia.edu/faculty/will-kendall
Andrew Kent,https://www.law.columbia.edu/faculty/andrew-kent,,https://www.law.columbia.edu/faculty/andrew-kent
Jeremy Kessler,https://www.law.columbia.edu/faculty/jeremy-kessler,,https://www.law.columbia.edu/faculty/jeremy-kessler
Scott Kessler,https://www.law.columbia.edu/faculty/scott-kessler,,https://www.law.columbia.edu/faculty/scott-kessler
Lina Khan,https://www.law.columbia.edu/faculty/lina-khan,,https://www.law.columbia.edu/faculty/lina-khan
Madhav Khosla,https://www.law.columbia.edu/faculty/madhav-khosla,,https://www.law.columbia.edu/faculty/madhav-khosla
Howard S. Kim,https://www.law.columbia.edu/faculty/howard-s-kim,,https://www.law.columbia.edu/faculty/howard-s-kim
Daniel A Kipnis,https://www.law.columbia.edu/faculty/daniel-kipnis,,https://www.law.columbia.edu/faculty/daniel-kipnis
Igor Kirman,https://www.law.columbia.edu/faculty/igor-kirman,,https://www.law.columbia.edu/faculty/igor-kirman
Edward Klaris,https://www.law.columbia.edu/faculty/edward-klaris,,https://www.law.columbia.edu/faculty/edward-klaris
Annika Knauer,https://www.law.columbia.edu/faculty/annika-knauer,,https://www.law.columbia.edu/faculty/annika-knauer
Sarah Maree Knuckey,https://www.law.columbia.edu/faculty/sarah-m-knuckey,,https://www.law.columbia.edu/faculty/sarah-m-knuckey
Paul Koffsky,https://www.law.columbia.edu/faculty/paul-koffsky,,https://www.law.columbia.edu/faculty/paul-koffsky
Saritha Komatireddy,https://www.law.columbia.edu/faculty/saritha-komatireddy,,https://www.law.columbia.edu/faculty/saritha-komatireddy
Eric Komitee,https://www.law.columbia.edu/faculty/eric-komitee,,https://www.law.columbia.edu/faculty/eric-komitee
Sam Koolaq,https://www.law.columbia.edu/faculty/sam-koolaq,,https://www.law.columbia.edu/faculty/sam-koolaq
Rachel Kovner,https://www.law.columbia.edu/faculty/rachel-kovner,,https://www.law.columbia.edu/faculty/rachel-kovner
Jody Kraus,https://www.law.columbia.edu/faculty/jody-kraus,,https://www.law.columbia.edu/faculty/jody-kraus
Stephanie Krent,https://www.law.columbia.edu/faculty/stephanie-krent,,https://www.law.columbia.edu/faculty/stephanie-krent
Ramya Krishnan,https://www.law.columbia.edu/faculty/ramya-krishnan,,https://www.law.columbia.edu/faculty/ramya-krishnan
Alexander Krulic,https://www.law.columbia.edu/faculty/alexander-krulic,,https://www.law.columbia.edu/faculty/alexander-krulic
Julian Ku,https://www.law.columbia.edu/faculty/julian-ku,,https://www.law.columbia.edu/faculty/julian-ku
Akshaya Kumar,https://www.law.columbia.edu/faculty/akshaya-kumar,,https://www.law.columbia.edu/faculty/akshaya-kumar
Lucy Faith Kweskin,https://www.law.columbia.edu/faculty/lucy-f-kweskin,,https://www.law.columbia.edu/faculty/lucy-f-kweskin
Julema La-Force,https://www.law.columbia.edu/faculty/julema-la-force,,https://www.law.columbia.edu/faculty/julema-la-force
David Lakhdhir,https://www.law.columbia.edu/faculty/david-lakhdhir,,https://www.law.columbia.edu/faculty/david-lakhdhir
Kevin Lam,https://www.law.columbia.edu/faculty/kevin-lam,,https://www.law.columbia.edu/faculty/kevin-lam
